L1.Sup,L2.Sup,L3.Sup,R1.Sup,R2.Sup,R3.Sup,L1.CTr,L2.CTr,L3.CTr,R1.CTr,R2.CTr,R3.CTr,L1.ThC,L2.ThC,L3.ThC,R1.ThC,R2.ThC,R3.ThC,L1.FTi,L2.FTi,L3.FTi,R1.FTi,R2.FTi,R3.FTi
4.740295393,-12.83082912,13.89846527,10.05541087,28.01865474,2.321542657,1.95308577,-10.00212162,20.4495233,10.20743088,-2.67090662,27.41499999,28.29738671,-28.58737636,-20.40527562,33.21030766,12.24289773,-43.81397567,116.9161536,140.3349376,76.81998406,65.00045874,96.96412668,82.34372872
4.652800008,-12.60767884,13.96718965,9.624295074,28.25651192,2.338107775,1.32163628,-10.36333387,20.23051857,10.43910255,-1.2814775,27.61667865,27.00609687,-28.68564917,-20.44349307,34.26617105,12.47935353,-44.11419467,117.0766172,141.1972594,77.2690666,64.72131915,96.37876879,82.21113773
4.60019251,-12.38614932,14.01907308,9.197161105,28.39245047,2.32833486,0.74080437,-10.72559572,20.02467176,10.6307836,0.43494793,27.84307749,25.75979039,-28.77250594,-20.47081017,35.2765933,12.68732106,-44.4383293,117.2553593,142.098817,77.76436748,64.44476388,95.89968392,82.0666656
4.593105196,-12.15501538,14.05923694,8.8141506,28.41396589,2.2779841,0.27178719,-11.09384817,19.847705,10.74905627,2.38713109,28.04798733,24.68739725,-28.85643782,-20.48610546,36.09115473,12.86612307,-44.78304597,117.4377098,143.0881749,78.29029022,64.16136729,95.50631974,81.92456548
4.636358096,-11.9094945,14.08900446,8.496000821,28.33514321,2.183105711,-0.07037771,-11.47824828,19.70645321,10.77912737,4.45852931,28.18870999,23.83142617,-28.94757523,-20.49428942,36.65131166,13.02430586,-45.14118368,117.6253384,144.2037687,78.82036623,63.86709395,95.12973401,81.80400635
4.719515243,-11.65266271,14.10627822,8.239438815,28.19480962,2.050268994,-0.3101603,-11.88952873,19.59806604,10.72254323,6.5357297,28.24106234,23.16282523,-29.05433583,-20.5056745,36.980072,13.18137104,-45.50319275,117.8300622,145.4566076,79.32580582,63.56471135,94.65543225,81.72095668
4.812703979,-11.39277404,14.10973292,8.022455079,28.04726339,1.892582006,-0.4904066,-12.33261854,19.51432078,10.59143886,8.53113317,28.20654614,22.61432276,-29.18039563,-20.53225884,37.151107,13.36434924,-45.8587218,118.061063,146.8217069,79.78504996,63.26292446,93.94777824,81.67982237
4.873074698,-11.13833528,14.10380799,7.817181877,27.94932797,1.723273508,-0.64835862,-12.8013694,19.44833286,10.40289607,10.3901661,28.11015172,22.11107263,-29.32280567,-20.58271393,37.25780584,13.59989581,-46.19790197,118.3140067,148.2419634,80.19062606,62.97389693,92.8890009,81.66812944
4.859411485,-10.89295365,14.100606,7.604436605,27.94767881,1.550317779,-0.79930567,-13.27726554,19.39890657,10.17457764,12.08416961,27.99121501,21.59327521,-29.47185796,-20.6587124,37.38685439,13.90561836,-46.51245752,118.5687301,149.6428671,80.55056351,62.70951922,91.4168496,81.65697349
4.747310881,-10.65173681,14.11638824,7.383166654,28.06934664,1.375228673,-0.93338025,-13.73310201,19.36905669,9.92182802,13.59841556,27.8885772,21.03534002,-29.61288333,-20.75433372,37.59192299,14.28483141,-46.79688908,118.796477,150.9520185,80.88390517,62.47726024,89.54585532,81.61159091
